DEFECTID,XREL,YREL,DEFECTAREA,DSIZE
1,110707840,158230311,0.0,207
2,185147535,81227912,0.0,100000
3,191096665,70213150,0.0,111
4,189246536,27753772,0.0,80
5,28794459,68581145,0.0,100000
6,60150329,247903546,0.0,66
7,22694130,199493553,0.0,66
8,130450963,134199795,0.0,91
9,190572830,257800616,0.0,57
10,244508127,215822058,0.0,57
11,58743052,234859231,0.0,57
12,57061562,235561220,0.0,56
13,54036103,240590346,0.0,57
14,29556512,93418656,0.0,57
15,46897167,240739052,0.0,57
16,109213370,235783359,0.0,59
17,219549678,247599640,0.0,59
18,76233680,48296601,0.0,59
19,29484370,220088449,0.0,60
20,10636521,162079900,0.0,59
21,122497766,155118120,0.0,75
22,187511017,226750040,0.0,66
23,146619796,236967999,0.0,65
24,123345952,61604615,0.0,66
25,202740145,70754656,0.0,65
26,160745431,53538185,0.0,66
27,225212836,86290261,0.0,66
28,248608558,128611299,0.0,66
29,51463747,127519223,0.0,67
30,87740690,229934871,0.0,67
31,50620201,181770004,0.0,66
32,103989680,244704493,0.0,66
33,147234371,255756377,0.0,67
34,113039169,51076090,0.0,65
35,178573311,48261891,0.0,65
36,104749447,54282603,0.0,66
37,196133481,54352272,0.0,67
38,43610842,159985203,0.0,66
39,133333008,43730327,0.0,66
40,70042282,77528439,0.0,68
41,53884738,100558943,0.0,66
42,103661535,249125843,0.0,66
43,240570258,211710138,0.0,66
44,143433434,40214090,0.0,66
45,140971291,40209103,0.0,66
46,226422634,70062208,0.0,67
47,56470699,90092779,0.0,67
48,257063089,181004926,0.0,66
49,191890586,46793976,0.0,65
50,48390846,196766768,0.0,66
51,131661203,37009876,0.0,66
52,52880877,89280501,0.0,66
53,43345070,107997669,0.0,66
54,73903207,64282623,0.0,65
55,97141199,252594925,0.0,65
56,57958194,79423824,0.0,66
57,169671508,34579231,0.0,65
58,225384270,59838695,0.0,66
59,238383614,70890645,0.0,66
60,210324325,47142075,0.0,66
61,244555572,76539024,0.0,66
62,45925606,211002294,0.0,65
63,259960125,98595036,0.0,66
64,36363008,193330075,0.0,66
65,206474494,42257973,0.0,68
66,58848001,69109133,0.0,66
67,188912012,33362215,0.0,66
68,262637280,100393436,0.0,65
69,73733264,247344042,0.0,67
70,35050535,195365599,0.0,66
71,118141175,30278228,0.0,66
72,91077242,259717378,0.0,66
73,68860989,55682426,0.0,65
74,95282260,262426699,0.0,65
75,82334044,44392256,0.0,66
76,89671507,260444349,0.0,66
77,92243389,38348368,0.0,65
78,257942853,84286860,0.0,66
79,84640511,260107103,0.0,67
80,277240281,164843729,0.0,65
81,270385352,194675074,0.0,66
82,158860178,278236552,0.0,66
83,21570384,154308796,0.0,67
84,133329331,21631110,0.0,66
85,47399867,229493535,0.0,66
86,238095182,54875078,0.0,66
87,274296495,112132012,0.0,66
88,23529387,179891910,0.0,66
89,256871059,224939135,0.0,65
90,38815782,79464286,0.0,66
91,281867149,146083551,0.0,67
92,35578080,215972680,0.0,66
93,202897649,271198430,0.0,66
94,86946986,266393940,0.0,66
95,278887218,118654206,0.0,66
96,190705604,23420314,0.0,67
97,172130771,18831858,0.0,65
98,70450211,257134018,0.0,66
99,21694070,109671470,0.0,65
100,282321143,175644901,0.0,66
101,17444985,174876721,0.0,67
102,76952941,33455202,0.0,66
103,24417057,206794161,0.0,65
104,21644665,201147022,0.0,66
105,86446882,273732697,0.0,66
106,62181838,258938192,0.0,65
107,271273614,221583107,0.0,66
108,245572788,253586732,0.0,65
109,213450944,23745901,0.0,66
110,189391717,286533966,0.0,66
111,120747398,10940149,0.0,66
112,143554585,292525155,0.0,66
113,170861483,291331100,0.0,66
114,276482750,83352428,0.0,66
115,36916150,238248887,0.0,66
116,101366529,285606900,0.0,66
117,41084420,50578050,0.0,67
118,55393570,36879882,0.0,66
119,2908108,136618542,0.0,66
120,6046219,116373865,0.0,66
121,160376109,256492296,0.0,69
122,198980730,46531875,0.0,69
123,251544547,94007934,0.0,70
124,146511446,271871590,0.0,70
125,70761333,249381496,0.0,70
126,46916954,240432297,0.0,69
127,39025029,68463479,0.0,69
128,192967201,14612169,0.0,70
129,13195323,99208319,0.0,70
130,3947427,151006793,0.0,68
131,106213831,289970208,0.0,69
132,3242852,142794255,0.0,71
133,111351579,292536154,0.0,69
134,239082836,102010259,0.0,69
135,37729951,147797522,0.0,69
136,263296814,134522334,0.0,69
137,38468917,122699432,0.0,69
138,48485287,209133548,0.0,70
139,113895653,264338189,0.0,70
140,85965371,252289286,0.0,71
141,41469436,204690046,0.0,69
142,257581188,91666239,0.0,72
143,39864792,96252833,0.0,71
144,69733922,243833968,0.0,69
145,210113687,263498316,0.0,69
146,252201684,228378782,0.0,70
147,155720876,279098057,0.0,69
148,189674865,274312857,0.0,71
149,197233341,271803037,0.0,69
150,29365465,203184428,0.0,70
151,97966879,274647368,0.0,69
152,79697315,268865246,0.0,69
153,69205818,262116287,0.0,69
154,29730932,80837840,0.0,69
155,11812680,136703510,0.0,70
156,29442181,80779941,0.0,70
157,92129484,21517015,0.0,70
158,22577140,215166978,0.0,69
159,27461530,224997204,0.0,70
160,8637612,191703136,0.0,69
161,101780973,289786031,0.0,69
162,64903998,91580486,0.0,69
163,217559633,65747057,0.0,69
164,79024953,47845230,0.0,69
165,51393913,167367368,0.0,68
166,255677553,137017385,0.0,69
167,75878580,227876835,0.0,69
168,168157652,257342932,0.0,68
169,44926278,180973317,0.0,68
170,227129603,70547214,0.0,68
171,226599773,69915942,0.0,69
172,45827796,194164172,0.0,69
173,188922090,257778339,0.0,68
174,135147589,263790456,0.0,68
175,40309543,112712247,0.0,69
176,35351101,176429302,0.0,68
177,230659912,62137283,0.0,68
178,78701409,247746799,0.0,69
179,28672886,151375357,0.0,68
180,259123881,96669451,0.0,68
181,273311621,140366752,0.0,69
182,110074056,31758744,0.0,68
183,264883769,200108565,0.0,69
184,24869745,139008219,0.0,68
185,89867656,39568829,0.0,69
186,104743298,29615349,0.0,69
187,27692529,103835857,0.0,68
188,283888271,149632199,0.0,69
189,15831263,150154256,0.0,69
190,157931232,284694451,0.0,68
191,221483483,35424678,0.0,68
192,18740253,116900429,0.0,68
193,32805837,220802211,0.0,68
194,33589932,223104895,0.0,69
195,10849668,144670017,0.0,68
196,170612821,9883751,0.0,68
197,8377453,159571983,0.0,69
198,176713422,293319975,0.0,68
199,22633867,220769968,0.0,68
200,44587100,47815011,0.0,69
201,250264121,257848409,0.0,68
202,71127671,219772772,0.0,68
203,257769992,171389245,0.0,69
204,117106988,31323138,0.0,69
205,160299643,273472822,0.0,68
206,36719099,209777403,0.0,70
207,276408589,127574620,0.0,69
208,49516726,69394819,0.0,69
209,23360245,103645221,0.0,69
210,14844701,157903615,0.0,69
211,135896760,13205096,0.0,68
212,86838474,272622187,0.0,69
213,284761903,119485800,0.0,69
214,24319758,86415576,0.0,70
215,208729991,279763679,0.0,68
216,70856956,175015724,0.0,50
217,64980345,173179024,0.0,51
218,183712805,65217928,0.0,51
219,69363625,105896445,0.0,53
220,207484938,78162085,0.0,50
221,202165129,74117138,0.0,50
222,161087022,58226263,0.0,52
223,197856103,70865735,0.0,50
224,57089842,133988568,0.0,50
225,198099824,68683809,0.0,50
226,109386163,63999878,0.0,50
227,90351762,75251825,0.0,52
228,59455087,183379493,0.0,52
229,213830908,224224161,0.0,50
230,245381565,126831883,0.0,51
231,88438006,229116129,0.0,51
232,88992690,69568398,0.0,50
233,136224314,49489253,0.0,51
234,152841170,251857513,0.0,52
235,49045470,137684163,0.0,51
236,199063361,60798316,0.0,52
