DEFECTID,XREL,YREL,DEFECTAREA,DSIZE
1,10470.391,180713.498,0.0,0.017
2,288091.656,127905.51,0.0,0.02
3,226202.226,266377.631,0.0,0.018
4,238592.82,244617.554,0.0,0.025
5,189332.726,27740.125,0.0,0.031
6,203833.41,51983.258,0.0,0.031
7,48700.313,106089.27,0.0,0.032
8,259185.031,135108.288,0.0,0.015
9,248985.242,182522.882,0.0,0.025
10,231221.312,119290.426,0.0,0.017
11,226193.882,191418.753,0.0,0.032
12,128435.749,66768.602,0.0,0.017
13,177380.242,68683.79,0.0,0.034
14,97805.458,206101.765,0.0,0.031
15,207911.914,186898.011,0.0,0.016
16,192049.507,98891.239,0.0,0.033
17,202073.003,190604.054,0.0,0.026
18,151542.784,213986.621,0.0,0.032
19,99796.813,186912.386,0.0,0.025
20,209334.351,147210.865,0.0,0.026
21,154819.626,177754.306,0.0,0.016
22,122573.973,155131.841,0.0,0.025
23,135445.197,133178.141,0.0,0.035
24,171209.708,150362.294,0.0,0.031
25,155566.116,152723.584,0.0,0.016
26,191168.031,70208.211,0.0,0.038
27,144042.181,144747.476,0.0,0.039
28,104054.067,194796.578,0.0,0.031
29,60895.125,266808.656,0.0,0.034
30,189019.164,7884.063,0.0,0.019
31,189019.164,7884.063,0.0,0.019
32,189020.585,7884.438,0.0,0.019
33,189020.753,7883.813,0.0,0.019
34,189019.339,7883.438,0.0,0.019
35,163927.069,12714.672,0.0,0.032
36,163927.069,12714.672,0.0,0.032
37,163927.338,12713.782,0.0,0.032
38,163927.069,12714.672,0.0,0.032
39,84966.997,16656.844,0.0,0.028
40,84966.997,16656.844,0.0,0.028
41,84967.282,16657.437,0.0,0.028
42,84967.497,16656.61,0.0,0.028
43,235881.687,30641.547,0.0,0.034
44,235575.937,30446.329,0.0,0.034
45,235580.32,30449.461,0.0,0.034
46,235882.406,30642.868,0.0,0.034
47,235882.789,30642.336,0.0,0.034
48,235882.289,30641.977,0.0,0.034
49,235881.687,30641.547,0.0,0.034
50,235576.32,30445.797,0.0,0.034
51,224985.929,32723.766,0.0,0.037
52,224984.757,32723.016,0.0,0.037
53,224985.929,32723.766,0.0,0.037
54,224986.281,32723.219,0.0,0.037
55,224984.953,32721.891,0.0,0.037
56,104627.637,54023.797,0.0,0.035
57,104627.637,54023.797,0.0,0.035
58,104627.915,54024.383,0.0,0.035
59,104629.125,54024.915,0.0,0.035
60,104632.352,54025.547,0.0,0.035
61,104633.465,54025.04,0.0,0.035
62,104632.911,54023.86,0.0,0.035
63,104628.594,54023.352,0.0,0.035
64,258085.046,57119.086,0.0,0.031
65,258085.046,57119.086,0.0,0.031
66,258085.515,57119.625,0.0,0.031
67,258086.007,57119.204,0.0,0.031
68,258086.242,57118.383,0.0,0.031
69,258085.539,57118.657,0.0,0.031
70,222213.148,67249.079,0.0,0.031
71,222212.21,67249.118,0.0,0.031
72,222212.726,67249.571,0.0,0.031
73,222213.148,67249.079,0.0,0.031
74,222212.976,67248.602,0.0,0.031
75,222212.632,67248.625,0.0,0.031
76,185234.566,81243.266,0.0,200000.0
77,185187.32,81207.961,0.0,200000.0
78,185187.539,81208.797,0.0,200000.0
79,185191.593,81215.024,0.0,200000.0
80,185205.949,81229.235,0.0,200000.0
81,185216.644,81239.172,0.0,200000.0
82,185234.566,81243.266,0.0,200000.0
83,185244.304,81220.493,0.0,200000.0
84,185244.375,81216.149,0.0,200000.0
85,185239.503,81196.11,0.0,200000.0
86,185225.207,81182.821,0.0,200000.0
87,185224.609,81182.516,0.0,200000.0
88,256932.617,85428.852,0.0,0.028
89,256931.484,85429.004,0.0,0.028
90,256931.804,85429.54,0.0,0.028
91,256932.359,85429.204,0.0,0.028
92,256932.617,85428.852,0.0,0.028
93,256932.039,85428.668,0.0,0.028
94,212370.398,101555.243,0.0,0.037
95,212370.398,101555.243,0.0,0.037
96,212371.667,101556.875,0.0,0.037
97,212372.179,101556.477,0.0,0.037
98,212372.39,101556.075,0.0,0.037
99,212372.273,101555.536,0.0,0.037
100,212371.429,101554.446,0.0,0.037
101,145923.636,112682.223,0.0,0.033
102,145923.48,112682.458,0.0,0.033
103,145923.708,112682.868,0.0,0.033
104,145923.834,112681.95,0.0,0.033
105,145923.636,112682.223,0.0,0.033
106,186239.828,119282.745,0.0,0.039
107,186238.566,119281.252,0.0,0.039
108,186238.91,119282.667,0.0,0.039
109,186239.753,119283.663,0.0,0.039
110,186240.742,119282.825,0.0,0.039
111,186239.062,119280.834,0.0,0.039
112,215197.175,121457.161,0.0,0.035
113,215196.578,121457.42,0.0,0.035
114,215196.679,121458.489,0.0,0.035
115,215196.929,121459.057,0.0,0.035
116,215197.324,121459.127,0.0,0.035
117,215197.523,121456.331,0.0,0.035
118,215196.925,121456.59,0.0,0.035
119,142853.63,124846.688,0.0,0.04
120,142851.754,124847.221,0.0,0.04
121,142852.11,124848.471,0.0,0.04
122,142852.388,124848.805,0.0,0.04
123,142853.013,124848.627,0.0,0.04
124,142853.985,124847.938,0.0,0.04
