Date,Time,S/N of Head,S/N of Diode,S/N of PS,Use time of Head,Use time of Diode,Use time of PS,Set Power,Actual Power,Set Current Oscillator,Act Current Oscillator,Set Temp. Diode1,Temp. Diode1,Set Temp. Van1,Temp. Van1,Set Temp. SHG,Temp. SHG,Set Temp. THG,Temp. THG,Set Temp. SBR,Temp. SBR,Maximum power of last system Start-up,Maximum Diode Current of last system Start-up,Spot Hours,Spot Number,Temp. HSH,Temp. HSD,Fault Number of ten times in the past
7/7/2014,11:17:54,152133,1017093,D28285,1400.17,1399.37,1729.49,2,2,103.5,101.92,25.6,25.6,19.9,19.9,150.6,150.5,55.7,55.8,0,50.9,3.35,114,502.27,2,37.3,27.9,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
8/18/2014,11:12:50,152133,1017093,D28285,2178.17,2177.27,2508.23,2,2,103.88,102.3,25.6,25.6,19.9,19.9,150.5,150.4,55.7,55.8,0,51,3.23,113.94,274.17,3,36.9,27.3,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
8/26/2014,12:45:08,152133,1017093,D28285,2356.17,2355.27,2701.21,2,2,104,102.29,25.6,25.6,20,19.9,150.5,150.4,55.8,55.8,0,51.8,3.17,114,450.15,3,39.4,26.5,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
9/8/2014,13:15:44,152133,1017093,D28285,2370.53,2370.03,3012.57,2,2,103.75,101.91,25.6,25.6,19.9,19.9,150.5,150.4,55.7,55.8,0,46.8,3.17,114,464.37,3,31.6,26.8,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
9/29/2014,10:03:52,152133,1017093,D28285,2870.12,2869.22,3512.16,2,2,103.75,101.61,25.6,25.6,19.9,19.9,150.5,150.5,55.8,55.8,0,51.8,3.17,114,963.08,3,37.1,27.4,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
9/29/2014,11:12:14,152133,1017093,D28285,2871.19,2870.29,3513.24,2,2,102.5,101.01,25.6,25.6,19.9,19.9,150.6,150.5,55.5,55.5,0,51.9,3.36,114,0.26,4,36.7,27.5,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
9/30/2014,8:00:12,152133,1017093,D28285,2892.03,2891.13,3534.08,2,2,102.5,101,25.6,25.6,19.9,19.9,150.6,150.5,55.5,55.5,0,52.1,3.36,114,21.08,4,37,27.4,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
10/27/2014,10:48:34,152133,1017093,D28285,3375,3374,4135.43,2,2,101.87,100.36,25.6,25.6,19.9,19.9,150.4,150.4,55.7,55.7,0,50.4,3.15,113.06,503.4,4,31.8,26.9,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
11/6/2014,14:46:58,152133,1017093,D28285,3615.51,3614.51,4378.57,2,2,103.5,101.59,25.6,25.6,19.9,19.9,150.5,150.5,55.7,55.8,0,51.2,3.18,114,0.18,5,33.9,26.9,123|4378.42|134|4378.30|123|4378.19|134|4378.19|123|4376.01|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
11/10/2014,9:22:30,152133,1017093,D28285,3705.33,3704.33,4469.17,2,2,104.25,102.48,25.6,25.6,19.9,19.9,150.5,150.4,55.7,55.7,0,51.1,3.19,114,89.51,5,36,26.8,123|4378.42|134|4378.30|123|4378.19|134|4378.19|123|4376.01|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
11/11/2014,13:54:46,152133,1017093,D28285,3734,3733,4497.44,2,2,104.25,102.53,25.6,25.6,19.9,19.9,150.5,150.4,55.7,55.7,0,51.1,3.19,114,117.5,5,36.5,26.7,123|4378.42|134|4378.30|123|4378.19|134|4378.19|123|4376.01|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
1/21/2015,10:18:03,152133,1017093,D28285,4612.24,4611.44,5774.01,2,0,0,0,25.6,25.6,19.9,19.9,150.5,150.4,55.7,55.7,0,40.8,0,99,995.34,5,29,24.5,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
1/21/2015,10:26:01,152133,1017093,D28285,4612.3,4611.5,5774.09,2,2,105,103.21,25.6,25.6,19.9,19.9,150.5,150.4,55.7,55.8,0,46.7,3.05,113.81,995.4,5,30.9,26.5,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
1/21/2015,10:26:30,152133,1017093,D28285,4612.31,4611.51,5774.1,2,2,105,103.22,25.6,25.6,19.9,19.9,150.5,150.4,55.7,55.7,0,46.9,3.05,113.81,995.41,5,31,26.5,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
1/21/2015,10:27:01,152133,1017093,D28285,4612.31,4611.51,5774.1,2,2,105,103.18,25.6,25.6,19.9,19.9,150.5,150.4,55.7,55.8,0,47.1,3.05,113.81,995.41,5,31.1,26.5,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
1/21/2015,10:27:31,152133,1017093,D28285,4612.32,4611.52,5774.11,2,2,105,103.19,25.6,25.6,19.9,19.9,150.5,150.5,55.7,55.7,0,47.2,3.05,113.81,995.42,5,31.3,26.6,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
1/21/2015,10:28:01,152133,1017093,D28285,4612.32,4611.52,5774.11,2,2,105,103.21,25.6,25.6,19.9,19.9,150.5,150.4,55.7,55.7,0,47.3,3.05,113.81,995.42,5,31.4,26.6,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
1/21/2015,10:28:31,152133,1017093,D28285,4612.33,4611.53,5774.12,2,2,105,103.22,25.6,25.6,19.9,19.9,150.5,150.4,55.7,55.7,0,47.5,3.05,113.81,995.43,5,31.5,26.6,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
1/21/2015,10:29:01,152133,1017093,D28285,4612.33,4611.53,5774.12,2,2,105,103.22,25.6,25.6,19.9,19.9,150.4,150.4,55.7,55.7,0,47.8,3.05,113.81,995.43,5,31.6,26.6,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
1/21/2015,10:29:31,152133,1017093,D28285,4612.34,4611.54,5774.13,2,2,105,103.2,25.6,25.6,19.9,19.9,150.4,150.4,55.7,55.7,0,47.9,3.05,113.81,995.44,5,31.7,26.6,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
1/21/2015,10:30:01,152133,1017093,D28285,4612.34,4611.54,5774.13,2,2,105,103.22,25.6,25.6,19.9,19.9,150.4,150.3,55.7,55.7,0,48.1,3.05,113.81,995.44,5,31.8,26.6,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
1/21/2015,11:08:56,152133,1017093,D28285,4613.13,4612.33,5774.52,2,2,104.88,102.96,25.6,25.6,19.9,19.9,150.5,150.4,55.8,55.7,0,50.2,3.08,113.87,0.05,6,35.1,25.6,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
1/21/2015,11:14:17,152133,1017093,D28285,4613.18,4612.38,5774.57,2,2,104.88,102.92,25.6,25.6,19.9,19.9,150.5,150.5,55.8,55.8,0,50.2,3.1,113.94,0.1,6,35.2,25.8,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
1/22/2015,10:37:47,152133,1017093,D28285,4636.38,4635.58,5797.54,2,2,104.88,102.43,25.6,25.6,19.9,19.9,150.6,150.5,55.5,55.5,0,50.6,3.1,113.94,23.28,6,36.4,26.8,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
1/23/2015,10:19:31,152133,1017093,D28285,4660.14,4659.34,5821.07,2,2,104.12,102.45,25.6,25.6,19.9,19.9,150.5,150.5,55.5,55.5,0,50.6,3.29,113.94,47.04,6,36.4,27,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
2/12/2015,10:28:12,152133,1017093,D28285,4965.12,4964.32,6292,2,2,104.38,102.46,25.6,25.6,19.9,19.9,150.4,150.4,55.5,55.5,0,48.1,3.27,113.75,349.23,6,32.2,27,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
4/22/2015,8:59:00,152133,1017093,D28285,5619.4,5619.3,7895.33,2,2,105.25,103.53,25.6,25.6,19.9,19.9,150.5,150.4,55.7,55.8,0,50.3,3.03,113.81,0.05,7,35,26.4,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
4/22/2015,8:59:43,152133,1017093,D28285,5619.4,5619.3,7895.34,2,0,0,0,25.6,25.4,19.9,19.5,150.5,150.4,55.7,55.7,0,49.8,0,99,0.05,7,34.9,25.9,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
4/23/2015,11:09:23,152133,1017093,D28285,5621.01,5620.52,7921.13,2,2,104.38,102.78,25.6,25.6,19.9,19.9,150.6,150.5,55.5,55.5,0,49.7,3.28,113.87,1.28,7,32.8,26,0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00|0|0.00
